X,Y,Fmol_err,Surftot_err,NewX,NewY,Radius
12,7,,,-16,-21,4.584443440169259
13,7,,,-15,-21,4.481334318960428
14,7,,,-14,-21,4.382681859282989
15,7,,,-13,-21,4.288793613628191
16,7,,,-12,-21,4.199989097619398
17,7,,,-11,-21,4.116597327789027
18,7,,,-10,-21,4.038953586934591
19,7,,,-9,-21,3.9673953640742594
20,7,,,-8,-21,3.902257455827094
21,7,,,-7,-21,3.843866270755586
22,7,,,-6,-21,3.7925334464656815
23,7,,,-5,-21,3.7485489668514878
24,7,,,-4,-21,3.7121740463534225
25,7,,,-3,-21,3.683634119069187
26,7,,,-2,-21,3.6631123208462224
27,7,,,-1,-21,3.650743870270038
28,7,,,0,-21,3.646611731005539
29,7,,,1,-21,3.650743870270038
30,7,,,2,-21,3.6631123208462224
31,7,,,3,-21,3.683634119069187
32,7,,,4,-21,3.7121740463534225
33,7,0.058745626,0.00067122554,5,-21,3.7485489668514878
34,7,0.059376825,0.00064568745,6,-21,3.7925334464656815
35,7,,,7,-21,3.843866270755586
36,7,,,8,-21,3.902257455827094
37,7,,,9,-21,3.9673953640742594
38,7,,,10,-21,4.038953586934591
39,7,,,11,-21,4.116597327789027
40,7,,,12,-21,4.199989097619398
41,7,,,13,-21,4.288793613628191
42,7,,,14,-21,4.382681859282989
43,7,,,15,-21,4.481334318960428
44,7,,,16,-21,4.584443440169259
45,7,,,17,-21,4.691715401976494
46,7,,,18,-21,4.802871281784476
47,7,,,19,-21,4.917647716627408
48,7,,,20,-21,5.035797152340982
49,7,,,21,-21,5.157087766696861
50,7,,,22,-21,5.2813031428348625
51,7,,,23,-21,5.408241758541721
52,7,,,24,-21,5.537716346145369
53,7,,,25,-21,5.66955316767652
54,7,,,26,-21,5.803591240867174
55,7,,,27,-21,5.939681543672491
0,8,,,-28,-20,5.975112425280571
1,8,,,-27,-20,5.834682130703843
2,8,,,-26,-20,5.696083743870109
3,8,,,-25,-20,5.559454276025838
4,8,,,-24,-20,5.424942493379698
5,8,,,-23,-20,5.292709858375535
6,8,,,-22,-20,5.162931494086331
7,8,,,-21,-20,5.035797152340982
8,8,,,-20,-20,4.911512158758916
9,8,,,-19,-20,4.790298298745276
10,8,,,-18,-20,4.672394597580686
11,8,,,-17,-20,4.558057935048059
12,8,,,-16,-20,4.4475634208206705
13,8,,,-15,-20,4.34120444167326
14,8,,,-14,-20,4.239292276524386
15,8,,,-13,-20,4.142155162039331
16,8,,,-12,-20,4.050136682413686
17,8,,,-11,-20,3.9635933551855285
18,8,,,-10,-20,3.8828912943221727
19,8,,,-9,-20,3.8084018565520426
20,8,,,-8,-20,3.7404962207799737
21,8,,,-7,-20,3.679538915891987
22,8,,,-6,-20,3.6258803991130186
23,8,,,-5,-20,3.5798488910838793
24,8,,,-4,-20,3.5417417856940197
25,8,,,-3,-20,3.5118170580600787
26,8,,,-2,-20,3.490285174773906
27,8,,,-1,-20,3.4773020479137817
28,8,,,0,-20,3.4729635533386083
29,8,,,1,-20,3.4773020479137817
30,8,,,2,-20,3.490285174773906
31,8,0.06141198,0.0007636192,3,-20,3.5118170580600787
32,8,0.06510982,0.00086157065,4,-20,3.5417417856940197
33,8,0.06798965,0.0008924581,5,-20,3.5798488910838793
34,8,0.06868655,0.00085791375,6,-20,3.6258803991130186
35,8,0.06557694,0.0007787468,7,-20,3.679538915891987
36,8,,,8,-20,3.7404962207799737
37,8,,,9,-20,3.8084018565520426
38,8,,,10,-20,3.8828912943221727
39,8,,,11,-20,3.9635933551855285
40,8,,,12,-20,4.050136682413686
41,8,,,13,-20,4.142155162039331
42,8,,,14,-20,4.239292276524386
43,8,,,15,-20,4.34120444167326
44,8,,,16,-20,4.4475634208206705
45,8,,,17,-20,4.558057935048059
46,8,,,18,-20,4.672394597580686
47,8,,,19,-20,4.790298298745276
48,8,,,20,-20,4.911512158758916
49,8,,,21,-20,5.035797152340982
50,8,,,22,-20,5.162931494086331
51,8,,,23,-20,5.292709858375535
52,8,,,24,-20,5.424942493379698
53,8,,,25,-20,5.559454276025838
54,8,,,26,-20,5.696083743870109
55,8,,,27,-20,5.834682130703843
0,9,,,-28,-19,5.875880751008097
1,9,,,-27,-19,5.733020292278753
2,9,,,-26,-19,5.591902728276532
3,9,,,-25,-19,5.452663381554668
4,9,,,-24,-19,5.315449855073599
5,9,,,-23,-19,5.180423124636712
6,9,,,-22,-19,5.0477586826188245
7,9,,,-21,-19,4.917647716627408
8,9,,,-20,-19,4.790298298745276
9,9,,,-19,-19,4.66593655082097
10,9,,,-18,-19,4.544807738598674
11,9,,,-17,-19,4.427177232117525
12,9,,,-16,-19,4.313331251775972
13,9,,,-15,-19,4.203577299126169
14,9,,,-14,-19,4.098244149770061
15,9,,,-13,-19,3.9976812643999384
16,9,,,-12,-19,3.902257455827094
17,9,,,-11,-19,3.8123586387689303
18,9,,,-10,-19,3.728384490479506
19,9,,,-9,-19,3.650743870270038
20,9,,,-8,-19,3.5798488910838793
21,9,,,-7,-19,3.5161076119608157
22,9,,,-6,-19,3.4599154287348117
23,9,,,-5,-19,3.4116453784529965
24,9,,,-4,-19,3.3716377299253666
25,9,,,-3,-19,3.340189389032747
26,9,,,-2,-19,3.3175437761349476
27,9,,,-1,-19,3.303881904328693
28,9,,,0,-19,3.2993153756716778
29,9,,,1,-19,3.303881904328693
30,9,0.06648126,0.0007747273,2,-19,3.3175437761349476
31,9,0.06955537,0.0009707965,3,-19,3.340189389032747
32,9,0.07269363,0.0011060649,4,-19,3.3716377299253666
33,9,0.07512897,0.0011524475,5,-19,3.4116453784529965
